"uic","name","lat","lon","source_name","source_uic_ref","status"
"005510033","Budapest-Nyugati","47,5107203","19,0574804","Budapest-Nyugati","5510033","matched"
"005510447","Vác","47,7827191","19,1330097","VÃ¡c","5510447","matched"
"005613526","Štúrovo","","","","","error"
"005613436","Nové Zámky","47,9955497","18,1734243","NovÃ© ZÃ¡mky","5613436","matched"
"005613206","Bratislava hl.st.","","","","","missing"
"005613016","Kúty","48,6619514","17,0474640","KÃºty","5613016","matched"
"005433425","Breclav","","","","","missing"
"008103171","Graz Hbf","","","","","missing"
"008103107","Wien Meidling","48,1745297","16,3339652","Wien Meidling","8100514","matched"
"008101003","Wien Hbf","","","","","missing"
"005433295","Brno hl.n.","","","","","missing"
"005457076","Praha hl.n.","","","","","missing"
"005455659","Děčín hl.n.","","","","","missing"
"008006050","Dresden Hbf","51,0402452","13,7320768","Dresden Hbf","8006050","matched"
"008031922","Berlin Hbf","","","","","missing"
"008020347","München Hbf","","","","","missing"
"008101114","Salzburg Hbf","","","","","missing"
"008101073","Linz Hbf","","","","","missing"
"005434364","Ostrava hl.n.","","","","","missing"
"005434124","Bohumín","49,9007495","18,3595973","BohumÃ­n",,"matched"
"005107331","Katowice","50,2576071","19,0171456","Katowice","5100020","matched"
"005103360","Warszawa Centralna","52,2288207","21,0031600","Warszawa Centralna","5100065","matched"
"005103865","Warszawa Wschodnia","52,2515889","21,0523678","Warszawa Wschodnia","5100066","matched"
"005108041","Kraków Główny","50,0684238","19,9478862","KrakÃ³w GÅÃ³wny","5100028","matched"
"005108266","Rzeszów Główny","50,0429915","22,0060864","RzeszÃ³w GÅÃ³wny",,"matched"
"005108440","Przemyśl Główny","49,7836100","22,7801519","PrzemyÅl GÅÃ³wny",,"matched"
"005453913","Česká Třebová","49,8970763","16,4466776","ÄeskÃ¡ TÅebovÃ¡","5453913","matched"
"005453613","Pardubice hl.n.","","","","","missing"
"005434362","Olomouc hl.n.","","","","","missing"
"005618115","Čadca","49,4452459","18,7869396","Äadca","5618215","matched"
"005617915","Žilina","49,2270928","18,7468252","Å½ilina","5617915","matched"
"005613600","Košice","48,7220196","21,2692121","KoÅ¡ice","5613600","matched"
"005616040","Humenné","48,9294820","21,8990739","HumennÃ©","5616040","matched"
